scale_N,scale_K,network_state,rng_seed,num_nodes,threads_per_task,tasks_per_node,model_time_sim,model_time_presim,use_inter_area_axonal_delay,time_collocate_spike_data,time_collocate_spike_data_cpu,time_communicate_prepare,time_communicate_prepare_cpu,time_communicate_spike_data,time_communicate_spike_data_cpu,time_communicate_target_data,time_communicate_target_data_cpu,time_construction_connect,time_construction_connect_cpu,time_construction_create,time_construction_create_cpu,time_deliver_secondary_data,time_deliver_secondary_data_cpu,time_deliver_spike_data,time_deliver_spike_data_cpu,time_gather_secondary_data,time_gather_secondary_data_cpu,time_gather_spike_data,time_gather_spike_data_cpu,time_gather_target_data,time_gather_target_data_cpu,time_omp_synchronization_construction,time_omp_synchronization_construction_cpu,time_omp_synchronization_simulation,time_omp_synchronization_simulation_cpu,time_mpi_synchronization,time_mpi_synchronization_cpu,time_simulate,time_simulate_cpu,time_communicate_prepare_mean,time_communicate_prepare_cpu_mean,time_update_mean,time_update_cpu_mean,time_construction_connect_mean,time_construction_connect_cpu_mean,time_deliver_secondary_data_mean,time_deliver_secondary_data_cpu_mean,time_deliver_spike_data_mean,time_deliver_spike_data_cpu_mean,time_gather_target_data_mean,time_gather_target_data_cpu_mean,time_omp_synchronization_construction_mean,time_omp_synchronization_construction_cpu_mean,time_omp_synchronization_simulation_mean,time_omp_synchronization_simulation_cpu_mean,py_time_kernel_prepare,py_time_network_local,py_time_network_global,py_time_simulate,py_time_presimulate,py_time_network_prepare,py_time_create,py_time_connect_area,py_time_connect_cc,py_time_connect,time_sort_connections,time_sort_connections_cpu,time_sort_connections_mean,time_sort_connections_cpu_mean,base_memory,network_memory,init_memory,total_memory,num_connections,local_spike_counter,base_memory_rss,base_memory_peak,network_memory_rss,network_memory_peak,init_memory_rss,init_memory_peak,total_memory_rss,total_memory_peak,num_corrections
1.0,1.0,metastable,12,32,64,2,10000.0,500.0,False,8.607590232515625,8.939287376375,,,84.3372693403125,88.76998582420312,1.01148903084375,0.7425068937499999,65.35328487159376,64.56293244334374,0.151608608390625,0.148987943609375,,,93.36272100681249,,0.0,0.0,93.4039712299375,98.17671402473437,,,,,,,0.0,0.0,217.55787447698438,226.808259424375,,,24.22882057958789,,,,,,92.22552887483471,,,,,,,,0.05215216428041458,73.32306461781263,100.04526970535517,217.57197350636125,12.334057226777077,87.62801415100694,38.40010455995798,34.90809882059693,100.04522340372205,222.58133637532592,,,,,53326424.0,1270161304.0,2330855092.0,2330855092.0,24130646652.0,429416589.0,,,,,,,,,0.0
1.0,1.0,metastable,12,4,64,2,10000.0,500.0,True,14.4625813865,14.8979061895,,,170.481240402,177.072696227375,0.079232463,0.06693102275,297.6633107965,293.93137384025,0.30072272425,0.29079109775,,,567.074859726375,,0.0,0.0,185.59025423674998,192.607897988,,,,,,,0.0,0.0,1194.4727465298752,1233.5076126735,,,418.19490791377734,,,,,,532.430212094043,,,,,,,,0.04465937614440918,292.41805785894394,176.8649236559868,1194.4795797765255,54.099189817905426,104.8064680993557,114.29950824379921,178.10295471549034,176.86486876010895,459.774291574955,,,,,6667720.0,1256080656.0,1514113468.0,1514113468.0,24130646652.0,512334082.0,,,,,,,,,0.0
1.0,1.0,metastable,12,8,64,2,10000.0,500.0,True,13.942231072875,14.371110163375,,,117.00537374787501,126.66490234425001,0.31044005406249997,0.2855583139375,146.230425711,144.45325333025,0.222849107625,0.21594384918749998,,,311.262850649375,,0.0,0.0,131.510600769125,141.591409699875,,,,,,,0.0,0.0,668.2279926108749,697.473392064875,,,203.69906271312988,,,,,,287.66167170720604,,,,,,,,0.04513201117515564,183.55471414327621,110.21670305728912,668.4176958352327,38.16270583868027,110.81964440643787,91.00233495235443,92.5379328429699,110.21665243804455,313.5742296874523,,,,,13348744.0,1259008972.0,1552996036.0,1552996036.0,24130646652.0,509822014.0,,,,,,,,,0.0
1.0,1.0,metastable,12,12,64,2,10000.0,500.0,True,12.922543805833334,13.474387846916665,,,103.51694995491668,112.06432734524999,0.14174722716666666,0.11058776358333333,107.61796139270832,106.41672108333334,0.19201812208333335,0.18897739629166665,,,223.2848181695,,0.0,0.0,116.97120765133333,126.07386622891666,,,,,,,0.0,0.0,463.2586579661667,489.92428538937503,,,108.22880109852603,,,,,,215.00880505044074,,,,,,,,0.04467954238255819,145.20896940430006,100.08510036269824,463.31410964330036,33.34275829792023,108.11796912550926,75.29438424110413,69.89964769283931,100.08504788080852,278.10266469915706,,,,,19988836.0,1125923144.0,1667703352.0,1667703352.0,24130646652.0,522446547.0,,,,,,,,,0.0
1.0,1.0,metastable,12,16,64,2,10000.0,500.0,True,17.287246095187502,17.70263755059375,,,117.0793397936875,124.18812904628125,0.2480841141875,0.20077482475,88.93944158734375,87.87534494040625,0.17621630593749998,0.17288519125,,,242.979834004125,,0.0,0.0,134.909188957875,142.43660430878126,,,,,,,0.0,0.0,466.323028301,483.904616717375,,,73.84656778898778,,,,,,237.49697361352048,,,,,,,,0.04487936198711395,117.94309106469154,97.00893647223711,466.3424228206277,23.988575264811516,98.94751786440611,65.01869478821754,52.90981858968735,97.00887906551361,248.86621551960707,,,,,26664720.0,1265801180.0,1879535512.0,1879535512.0,24130646652.0,773807943.0,,,,,,,,,0.0
1.0,1.0,metastable,12,24,64,2,10000.0,500.0,True,10.732155556666669,11.176390282020833,,,102.32775395885416,107.21992741889585,0.4683999684375,0.41053141816666666,73.12411181025,72.2126819815,0.16342672697916666,0.15957984547916668,,,133.5332382636458,,0.0,0.0,113.54046225812499,118.88222483610416,,,,,,,0.0,0.0,293.3379928658125,305.52229307422914,,,36.33270511605957,,,,,,131.9837837236159,,,,,,,,0.04486114283402761,88.66792500019073,98.29864453772704,293.40564151108265,16.64953942100207,90.53487740457058,49.13341371218363,39.51928707957268,98.29859409232934,228.3527585764726,,,,,39951040.0,1341341560.0,2047541752.0,2047541752.0,24130646652.0,511761972.0,,,,,,,,,0.0
1.0,1.0,metastable,12,32,64,2,10000.0,500.0,True,8.60037900034375,8.92983500784375,,,84.75337518320312,89.596095506875,0.888809341,0.6317013178124999,65.44324418382813,64.63591097296873,0.15147255484375,0.14872863854687499,,,93.02712319689061,,0.0,0.0,93.8147153075625,98.99427121782813,,,,,,,0.0,0.0,217.47164418229687,227.14712040210938,,,24.142505159343994,,,,,,91.98213248688819,,,,,,,,0.04414433240890503,71.12174485251307,101.4276436790824,217.52651385590434,12.703858755528927,81.71176741272211,38.33182266354561,32.77525970712304,101.42759913951159,215.91462625935674,,,,,53346904.0,1270167668.0,2330399880.0,2330399880.0,24130646652.0,429416589.0,,,,,,,,,0.0
1.0,1.0,metastable,91856,4,64,2,10000.0,500.0,False,14.373006077875,14.83111496,,,226.63719057887502,235.794029091875,0.082235082,0.069248886875,297.114222122125,293.33241797262497,0.304192582375,0.29311548487500005,,,552.431863844375,,0.0,0.0,241.64046832087502,251.240159637,,,,,,,0.0,0.0,1224.9332348465,1266.275178515125,,,413.6073750257734,,,,,,516.5890836217051,,,,,,,,0.04439818859100342,294.73836663365364,176.54771277308464,1224.9385461211205,56.607165426015854,107.0029753446579,114.91719323396683,179.8052113354206,176.54765662550926,463.35584330558777,,,,,6673864.0,1256079768.0,1514111840.0,1514111840.0,24130646652.0,495703398.0,,,,,,,,,0.0
1.0,1.0,metastable,91856,8,64,2,10000.0,500.0,False,12.3939254558125,12.535345054937501,,,114.957445156625,118.0931867531875,0.5287643751250001,0.5045340156874999,146.42639882143752,144.6187747963125,0.21855359175,0.2144650388125,,,278.4428745206875,,0.0,0.0,127.91246921925,131.18305842925002,,,,,,,0.0,0.0,627.5166857461875,640.0534009519375,,,198.64501622791798,,,,,,255.27522706150683,,,,,,,,0.04502488672733307,186.93705694377422,110.07749536633492,627.5899564772844,20.994989439845085,109.11149221658707,91.59226253628731,95.33009338378906,110.07744233310223,314.51902793347836,,,,,13327260.0,1259007548.0,1553583844.0,1553583844.0,24130646652.0,441058693.0,,,,,,,,,0.0
1.0,1.0,metastable,91856,12,64,2,10000.0,500.0,False,13.255613285416667,13.721750017124998,,,118.67811928591665,127.70840561929167,0.185633493,0.15711822183333332,107.65407767229168,106.44002283516666,0.19285156279166663,0.18808244279166667,,,228.231194341875,,0.0,0.0,132.48301390254167,141.98063412804166,,,,,,,0.0,0.0,485.7551866574167,509.52269744970835,,,109.76737554398828,,,,,,220.5655127829622,,,,,,,,0.04526233673095703,143.17288091778755,100.29240615169208,485.8434962928295,30.442798773447674,107.06374686956406,75.32987745602925,67.82815519968669,100.2923509478569,275.18425301710766,,,,,20006216.0,1125914492.0,1666828916.0,1666828916.0,24130646652.0,535718316.0,,,,,,,,,0.0
